address,albers_x,albers_y,admin_id,nearest_facility,coord_x,coord_y,drv_time_sec,drv_time_hrs,drv_dist,tag
"1 ALEXANDER ST, VANCOUVER, BC",1210833,478461,1234,Crosstown Elementary,1210665,477892,140.0719795437927,00:02:20,1.101,schools
"1 ATHLETES WAY, VANCOUVER, BC",1210760,477135,8766,Crosstown Elementary,1210665,477892,199.5434226928383,00:03:19,1.581,schools
"1 E BROADWAY, VANCOUVER, BC",1210877,476187,9982,St Patrick Regional Secondary,1211034,475992,99.92729292946893,00:01:39,0.609,schools
"1 E CORDOVA ST, VANCOUVER, BC",1210855,478339,1225,Crosstown Elementary,1210665,477892,130.4816782246342,00:02:10,1.09,schools
"1 E PENDER ST, VANCOUVER, BC",1210839,478124,1234,Crosstown Elementary,1210665,477892,47.68904558120364,00:00:47,0.412,schools
"1 MAIN NORTH FOOT, VANCOUVER, BC",1211178,478730,8712,Crosstown Elementary,1210665,477892,218.4344012874926,00:03:38,1.713,schools
"1 PEVERIL AV, VANCOUVER, BC",1210899,474140,1234,General Wolfe Elementary,1210854,474408,72.76158246393844,00:01:12,0.465,schools
"1 ROBSON ST, VANCOUVER, BC",1210313,477648,1234,The Westside School,1210172,477754,60.82056215166378,00:01:00,0.541,schools
"1 W 7TH AV, VANCOUVER, BC",1210839,476377,1234,St Patrick Regional Secondary,1211034,475992,101.50388702586697,00:01:41,0.801,schools
"10 E 11TH AV, VANCOUVER, BC",1210880,475928,1234,St Patrick's Elementary,1211054,475810,83.9708911465218,00:01:23,0.545,schools
"10 E 11TH AV, VANCOUVER, BC",1210895,475935,1234,St Patrick's Elementary,1211054,475810,83.9708911465218,00:01:23,0.545,schools
"10 E 26TH AV, VANCOUVER, BC",1210943,474489,1234,General Wolfe Elementary,1210854,474408,73.97268036301573,00:01:13,0.278,schools
"10 E PENDER ST, VANCOUVER, BC",1210901,478027,1234,Crosstown Elementary,1210665,477892,49.733794992420684,00:00:49,0.336,schools
"10 W 14TH AV, VANCOUVER, BC",1210849,475629,1234,Simon Fraser Elementary,1210646,475505,48.595318491095625,00:00:48,0.395,schools
"100 E CORDOVA ST, VANCOUVER, BC",1210985,478288,1234,Crosstown Elementary,1210665,477892,120.42076682579335,00:02:00,0.718,schools
"100 E PENDER ST, VANCOUVER, BC",1210984,478077,1234,Crosstown Elementary,1210665,477892,69.30543623866565,00:01:09,0.574,schools
"100 POWELL ST, VANCOUVER, BC",1210992,478389,1234,Crosstown Elementary,1210665,477892,118.95966386618446,00:01:58,0.953,schools
"100 W 13TH AV, VANCOUVER, BC",1210708,475727,1234,Simon Fraser Elementary,1210646,475505,88.38237360777892,00:01:28,0.636,schools
"100 W 15TH AV, VANCOUVER, BC",1210632,475505,1234,Simon Fraser Elementary,1210646,475505,70.85423059692023,00:01:10,0.558,schools
"1000 IRONWORK PASSAGE, VANCOUVER, BC",1209119,476606,1234,False Creek Elementary,1209243,476553,101.2903425845552,00:01:41,0.294,schools
"1000 PARKER ST, VANCOUVER, BC",1212590,477606,1234,Admiral Seymour StrongStart Centre,1212578,477967,91.42852313860914,00:01:31,0.56,schools
"1000 ROBSON ST, VANCOUVER, BC",1209430,478365,1234,Pattison High School,1209307,478110,54.994708344653844,00:00:54,0.417,schools
"1001 E 20TH AV, VANCOUVER, BC",1212475,475104,1234,Charles Dickens Elementary,1212535,475325,88.37442195319903,00:01:28,0.36,schools
"1001 E 7TH AV, VANCOUVER, BC",1212283,476500,1234,Mount Pleasant StrongStart Centre,1211649,476302,118.86982849230424,00:01:58,0.876,schools
"1001 E 7TH AV, VANCOUVER, BC",1212421,476417,1234,Mount Pleasant StrongStart Centre,1211649,476302,118.86982849230424,00:01:58,0.876,schools
"1001 E PENDER ST, VANCOUVER, BC",1212429,478153,1234,Admiral Seymour StrongStart Centre,1212578,477967,109.63542333546647,00:01:49,0.569,schools
"1001 HOMER ST, VANCOUVER, BC",1209638,477702,1234,Elsie Roy Elementary,1209538,477136,111.11986128575627,00:01:51,0.859,schools
"1001 HORNBY ST, VANCOUVER, BC",1209252,478061,1234,Pattison High School,1209307,478110,75.12387001841054,00:01:15,0.529,schools
"1001 HORNBY ST, VANCOUVER, BC",1209280,478034,1234,Pattison High School,1209307,478110,75.12387001841054,00:01:15,0.529,schools
"1001 KINGSWAY, VANCOUVER, BC",1212459,475240,1234,Charles Dickens Elementary,1212535,475325,66.00978373702885,00:01:06,0.203,schools
"1001 KINGSWAY, VANCOUVER, BC",1212479,475229,1234,Charles Dickens Elementary,1212535,475325,66.00978373702885,00:01:06,0.203,schools
"1001 KINGSWAY, VANCOUVER, BC",1212469,475233,1234,Charles Dickens Elementary,1212535,475325,66.00978373702885,00:01:06,0.203,schools
"1001 NICOLA ST, VANCOUVER, BC",1208578,478681,1234,Lord Roberts Elementary,1208355,478705,64.30765284372397,00:01:04,0.435,schools
"1001 POWELL ST, VANCOUVER, BC",1212452,478423,1234,Lord Strathcona Community Elementary,1211760,478069,136.8234498660251,00:02:16,1.061,schools
"1001 RICHARDS ST, VANCOUVER, BC",1209569,477772,1234,Elsie Roy Elementary,1209538,477136,123.90566884873733,00:02:03,0.955,schools
"1001 ROBSON ST, VANCOUVER, BC",1209452,478400,1234,Pattison High School,1209307,478110,91.28591792823008,00:01:31,0.726,schools
"1001 SEYMOUR ST, VANCOUVER, BC",1209495,477836,1234,Pattison High School,1209307,478110,119.34381677481295,00:01:59,0.827,schools
"1001 SEYMOUR ST, VANCOUVER, BC",1209505,477847,1234,Pattison High School,1209307,478110,119.34381677481295,00:01:59,0.827,schools
"1001 SEYMOUR ST, VANCOUVER, BC",1209510,477853,1234,Pattison High School,1209307,478110,119.34381677481295,00:01:59,0.827,schools
"1001 VENABLES ST, VANCOUVER, BC",1212444,477792,1234,Admiral Seymour StrongStart Centre,1212578,477967,85.15330097892371,00:01:25,0.469,schools
"1001 W BROADWAY, VANCOUVER, BC",1209227,476174,1234,L'Ecole Bilingue Elementary,1209026,475541,117.63937312882992,00:01:57,0.963,schools
"1001 W BROADWAY, VANCOUVER, BC",1209254,476174,1234,L'Ecole Bilingue Elementary,1209026,475541,117.63937312882992,00:01:57,0.963,schools
"1001 W BROADWAY, VANCOUVER, BC",1209238,476174,1234,L'Ecole Bilingue Elementary,1209026,475541,117.63937312882992,00:01:57,0.963,schools
"1001 W CORDOVA ST, VANCOUVER, BC",1209875,478905,1234,Alexander Academy,1210097,478578,128.37920039277836,00:02:08,0.837,schools
"1002 E 12TH AV, VANCOUVER, BC",1212458,475828,1234,Florence Nightingale StrongStart Centre,1211687,475869,80.00516935059866,00:01:20,0.787,schools
"1002 E 14TH AV, VANCOUVER, BC",1212462,475627,1234,Florence Nightingale StrongStart Centre,1211687,475869,105.05525448606623,00:01:45,0.988,schools
"1002 E 20TH AV, VANCOUVER, BC",1212472,475056,1234,Charles Dickens Annex,1212533,474809,74.60909099080848,00:01:14,0.314,schools
"1002 SEYMOUR ST, VANCOUVER, BC",1209526,477784,1234,Elsie Roy Elementary,1209538,477136,145.07057110159465,00:02:25,0.863,schools
"1002 W 10TH AV, VANCOUVER, BC",1209245,476005,1234,L'Ecole Bilingue Elementary,1209026,475541,136.05639646292295,00:02:16,0.693,schools
"1003 BURNABY ST, VANCOUVER, BC",1208940,477840,1234,Pattison High School,1209307,478110,64.1537241529537,00:01:04,0.474,schools
"1003 DOUGLAS CRESCENT, VANCOUVER, BC",1209234,475163,1234,L'Ecole Bilingue Elementary,1209026,475541,55.64918370695571,00:00:55,0.645,schools
"1003 E 10TH AV, VANCOUVER, BC",1212449,476086,1234,Mount Pleasant StrongStart Centre,1211649,476302,126.62227380681314,00:02:06,0.963,schools
"1003 E 11TH AV, VANCOUVER, BC",1212454,475979,1234,Florence Nightingale StrongStart Centre,1211687,475869,112.56205626892489,00:01:52,1.027,schools
"1003 E 12TH AV, VANCOUVER, BC",1212455,475885,1234,Florence Nightingale StrongStart Centre,1211687,475869,112.7231315574532,00:01:52,0.923,schools
"1003 E 14TH AV, VANCOUVER, BC",1212462,475685,1234,Florence Nightingale StrongStart Centre,1211687,475869,96.56538052796965,00:01:36,0.93,schools
"1003 E 38TH AV, VANCOUVER, BC",1212463,473210,1234,Sir Alexander Mackenzie Elementary,1212313,473057,96.95744494654203,00:01:36,0.736,schools
"1003 E 39TH AV, VANCOUVER, BC",1212468,473112,1234,Sir Alexander Mackenzie Elementary,1212313,473057,88.04697822781175,00:01:28,0.609,schools
"1003 E 41ST AV, VANCOUVER, BC",1212474,472903,1234,Sir Alexander Mackenzie Elementary,1212313,473057,59.93808989263968,00:00:59,0.319,schools
"1003 PACIFIC ST, VANCOUVER, BC",1208792,477678,1234,Pattison High School,1209307,478110,88.08955417336102,00:01:28,0.69,schools
"1003 W 33RD AV, VANCOUVER, BC",1209266,473728,1234,BC Children's Adol. Psych. Unit,1209444,473506,90.14407330691517,00:01:30,0.593,schools
"1003 WOLFE AV, VANCOUVER, BC",1209241,474965,1234,L'Ecole Bilingue Elementary,1209026,475541,83.24131512834903,00:01:23,0.782,schools
"1004 DOUGLAS CRESCENT, VANCOUVER, BC",1209235,475123,1234,L'Ecole Bilingue Elementary,1209026,475541,66.82836778162667,00:01:06,0.588,schools
"1004 E 10TH AV, VANCOUVER, BC",1212453,476031,1234,Florence Nightingale StrongStart Centre,1211687,475869,107.63551538859186,00:01:47,0.975,schools
"1004 E 11TH AV, VANCOUVER, BC",1212455,475934,1234,Florence Nightingale StrongStart Centre,1211687,475869,108.08395488242962,00:01:48,0.874,schools
"1004 E 33RD AV, VANCOUVER, BC",1212456,473670,1234,Sir Richard McBride Annex,1212408,473884,76.62408184148914,00:01:16,0.566,schools
"1004 E 37TH AV, VANCOUVER, BC",1212464,473255,1234,Sir Alexander Mackenzie Elementary,1212313,473057,92.6952288269577,00:01:32,0.691,schools
"1004 W 11TH AV, VANCOUVER, BC",1209261,475902,1234,L'Ecole Bilingue Elementary,1209026,475541,129.10506971977708,00:02:09,0.6,schools
"1004 W 11TH AV, VANCOUVER, BC",1209255,475898,1234,L'Ecole Bilingue Elementary,1209026,475541,129.10506971977708,00:02:09,0.6,schools
"1004 W 33RD AV, VANCOUVER, BC",1209265,473669,1234,Vancouver Talmud Torah Elementary,1209333,474385,148.82906099209328,00:02:28,1.042,schools
"1004 W BROADWAY, VANCOUVER, BC",1209252,476109,1234,L'Ecole Bilingue Elementary,1209026,475541,158.68943041235403,00:02:38,0.804,schools
"1004 WOLFE AV, VANCOUVER, BC",1209233,474923,1234,Westside Montessori,1209243,474492,87.05968139509287,00:01:27,0.627,schools
"1005 BEACH AV, VANCOUVER, BC",1208674,477620,1234,Anchor Point Montessori,1208902,477646,73.77666533847504,00:01:13,0.472,schools
"1005 BROUGHTON ST, VANCOUVER, BC",1208671,478607,1234,Lord Roberts Annex,1208956,478319,66.53662012289209,00:01:06,0.405,schools
"1005 E 15TH AV, VANCOUVER, BC",1212467,475582,1234,Florence Nightingale StrongStart Centre,1211687,475869,109.33177785999142,00:01:49,1.033,schools
"1005 E 17TH AV, VANCOUVER, BC",1212457,475413,1234,Charles Dickens Elementary,1212535,475325,78.63189597288668,00:01:18,0.461,schools
