address,albers_x,albers_y,admin_id,nearest_facility,coord_x,coord_y,drv_time_sec,drv_time_hrs,drv_dist,tag
"1010 RAYMUR AV, VANCOUVER, BC",1212483,477620,1234,Admiral Seymour StrongStart Centre,1212578,477967,149.61651241721773,00:02:29,1.126,schools
"1010 RAYMUR AV, VANCOUVER, BC",1212483,477628,1234,Admiral Seymour StrongStart Centre,1212578,477967,149.61651241721773,00:02:29,1.126,schools
"1010 RAYMUR AV, VANCOUVER, BC",1212483,477635,1234,Admiral Seymour StrongStart Centre,1212578,477967,149.61651241721773,00:02:29,1.126,schools
"1010 RAYMUR AV, VANCOUVER, BC",1212450,477635,1234,Admiral Seymour StrongStart Centre,1212578,477967,149.61651241721773,00:02:29,1.126,schools
"1010 RAYMUR AV, VANCOUVER, BC",1212449,477612,1234,Admiral Seymour StrongStart Centre,1212578,477967,149.61651241721773,00:02:29,1.126,schools
"1010 RAYMUR AV, VANCOUVER, BC",1212450,477589,1234,Admiral Seymour StrongStart Centre,1212578,477967,149.61651241721773,00:02:29,1.126,schools
"1010 RAYMUR AV, VANCOUVER, BC",1212484,477613,1234,Admiral Seymour StrongStart Centre,1212578,477967,149.61651241721773,00:02:29,1.126,schools
"1010 RAYMUR AV, VANCOUVER, BC",1212449,477620,1234,Admiral Seymour StrongStart Centre,1212578,477967,149.61651241721773,00:02:29,1.126,schools
"1010 RAYMUR AV, VANCOUVER, BC",1212450,477605,1234,Admiral Seymour StrongStart Centre,1212578,477967,149.61651241721773,00:02:29,1.126,schools
"1010 RAYMUR AV, VANCOUVER, BC",1212484,477574,1234,Admiral Seymour StrongStart Centre,1212578,477967,149.61651241721773,00:02:29,1.126,schools
"1010 RAYMUR AV, VANCOUVER, BC",1212484,477597,1234,Admiral Seymour StrongStart Centre,1212578,477967,149.61651241721773,00:02:29,1.126,schools
"1010 RICHARDS ST, VANCOUVER, BC",1209613,477733,1234,Elsie Roy Elementary,1209538,477136,137.39138310078948,00:02:17,0.788,schools
"1010 SMITHE ST, VANCOUVER, BC",1209262,478345,1234,Pattison High School,1209307,478110,73.12980487505098,00:01:13,0.504,schools
"1010 W 33RD AV, VANCOUVER, BC",1209245,473669,1234,Vancouver Talmud Torah Elementary,1209333,474385,142.2844888949268,00:02:22,1.022,schools
"1010 W 38TH AV, VANCOUVER, BC",1209223,473177,1234,Vancouver College,1208709,472956,120.21494377515208,00:02:00,0.782,schools
"1010 W KING EDWARD AV, VANCOUVER, BC",1209242,474530,1234,Westside Montessori,1209243,474492,52.24250441313413,00:00:52,0.293,schools
"1011 BEACH AV, VANCOUVER, BC",1208624,477673,1234,Anchor Point Montessori,1208902,477646,81.59942753843677,00:01:21,0.555,schools
"1011 E 16TH AV, VANCOUVER, BC",1212466,475502,1234,Charles Dickens Elementary,1212535,475325,77.98595969584126,00:01:17,0.416,schools
"1011 E 38TH AV, VANCOUVER, BC",1212473,473210,1234,Sir Alexander Mackenzie Elementary,1212313,473057,96.96725893548509,00:01:36,0.736,schools
"1011 E 39TH AV, VANCOUVER, BC",1212478,473112,1234,Sir Alexander Mackenzie Elementary,1212313,473057,111.20586525325274,00:01:51,0.495,schools
"1011 E 41ST AV, VANCOUVER, BC",1212483,472904,1234,Sir Alexander Mackenzie Elementary,1212313,473057,125.48704397593396,00:02:05,0.599,schools
"1011 RICHELIEU AV, VANCOUVER, BC",1209231,475337,1234,L'Ecole Bilingue Elementary,1209026,475541,61.023088566480126,00:01:01,0.372,schools
"1011 W 33RD AV, VANCOUVER, BC",1209248,473728,1234,Vancouver Talmud Torah Elementary,1209333,474385,100.44612384106797,00:01:40,0.708,schools
"1011 W 38TH AV, VANCOUVER, BC",1209212,473202,1234,Vancouver College,1208709,472956,128.57850724008023,00:02:08,0.807,schools
"1011 W CORDOVA ST, VANCOUVER, BC",1209876,478908,1234,Alexander Academy,1210097,478578,128.38846922261905,00:02:08,0.838,schools
"1011 W KING EDWARD AV, VANCOUVER, BC",1209237,474600,1234,Westside Montessori,1209243,474492,59.357733195880925,00:00:59,0.419,schools
"1012 BALFOUR AV, VANCOUVER, BC",1209227,474818,1234,Westside Montessori,1209243,474492,136.76597421439334,00:02:16,0.863,schools
"1012 BROUGHTON ST, VANCOUVER, BC",1208693,478565,1234,Lord Roberts Elementary,1208355,478705,82.25496538286893,00:01:22,0.555,schools
"1012 E 12TH AV, VANCOUVER, BC",1212468,475829,1234,Florence Nightingale StrongStart Centre,1211687,475869,90.91061597462999,00:01:30,0.831,schools
"1012 E 28TH AV, VANCOUVER, BC",1212481,474249,1234,Sir Richard McBride Annex,1212408,473884,55.82208062434339,00:00:55,0.364,schools
"1012 E 33RD AV, VANCOUVER, BC",1212467,473671,1234,Sir Richard McBride Annex,1212408,473884,87.65724951843343,00:01:27,0.609,schools
"1012 E 37TH AV, VANCOUVER, BC",1212473,473255,1234,Sir Alexander Mackenzie Elementary,1212313,473057,60.36206037645255,00:01:00,0.32,schools
"1012 E 38TH AV, VANCOUVER, BC",1212477,473154,1234,Sir Alexander Mackenzie Elementary,1212313,473057,51.252645448227085,00:00:51,0.22,schools
"1012 E 40TH AV, VANCOUVER, BC",1212483,472947,1234,Sir Alexander Mackenzie Elementary,1212313,473057,67.0797539806453,00:01:07,0.32,schools
"1012 MAIN ST, VANCOUVER, BC",1211194,477561,1234,Crosstown Elementary,1210665,477892,139.11433385763462,00:02:19,1.198,schools
"1012 NELSON ST, VANCOUVER, BC",1209203,478112,1234,Pattison High School,1209307,478110,145.11211770266772,00:02:25,1.031,schools
"1012 NELSON ST, VANCOUVER, BC",1209173,478139,1234,Pattison High School,1209307,478110,145.11211770266772,00:02:25,1.031,schools
"1012 NELSON ST, VANCOUVER, BC",1209188,478125,1234,Pattison High School,1209307,478110,145.11211770266772,00:02:25,1.031,schools
"1012 RICHELIEU AV, VANCOUVER, BC",1209232,475286,1234,L'Ecole Bilingue Elementary,1209026,475541,45.07496544318128,00:00:45,0.347,schools
"1014 CARDERO ST, VANCOUVER, BC",1208514,478731,1234,King George Secondary,1208443,479047,47.69624095607827,00:00:47,0.432,schools
"1014 E 10TH AV, VANCOUVER, BC",1212463,476031,1234,Florence Nightingale StrongStart Centre,1211687,475869,103.30940043840738,00:01:43,0.93,schools
"1014 E 22ND AV, VANCOUVER, BC",1212485,474859,1234,Charles Dickens Elementary,1212535,475325,83.08461443253375,00:01:23,0.551,schools
"1014 HOMER ST, VANCOUVER, BC",1209675,477651,1234,Elsie Roy Elementary,1209538,477136,115.81907850352385,00:01:55,0.891,schools
"1014 W 11TH AV, VANCOUVER, BC",1209245,475902,1234,L'Ecole Bilingue Elementary,1209026,475541,125.85061781334787,00:02:05,0.59,schools
"1015 BURRARD ST, VANCOUVER, BC",1209145,478096,1234,Pattison High School,1209307,478110,118.93424603009754,00:01:58,0.967,schools
"1015 CLARK DRIVE, VANCOUVER, BC",1212764,477620,1234,Britannia Community Elementary,1213247,477541,95.33025009186866,00:01:35,0.633,schools
"1015 DENMAN ST, VANCOUVER, BC",1208246,478985,1234,King George Secondary,1208443,479047,106.59583150420457,00:01:46,0.709,schools
"1015 E 11TH AV, VANCOUVER, BC",1212474,475987,1234,Florence Nightingale StrongStart Centre,1211687,475869,136.467606444413,00:02:16,1.146,schools
"1015 E 12TH AV, VANCOUVER, BC",1212475,475886,1234,Florence Nightingale StrongStart Centre,1211687,475869,124.60767295691129,00:02:04,1.048,schools
"1015 E 14TH AV, VANCOUVER, BC",1212481,475685,1234,Charles Dickens Elementary,1212535,475325,134.90749937431704,00:02:14,0.586,schools
"1015 E 15TH AV, VANCOUVER, BC",1212482,475583,1234,Charles Dickens Elementary,1212535,475325,116.38245913844894,00:01:56,0.491,schools
"1015 E 22ND AV, VANCOUVER, BC",1212484,474911,1234,Charles Dickens Elementary,1212535,475325,103.28907701701591,00:01:43,0.503,schools
"1015 E 41ST AV, VANCOUVER, BC",1212494,472904,1234,Sir Alexander Mackenzie Elementary,1212313,473057,121.73570512647649,00:02:01,0.588,schools
"1015 E 8TH AV, VANCOUVER, BC",1212464,476297,1234,Mount Pleasant StrongStart Centre,1211649,476302,161.71330141324054,00:02:41,1.08,schools
"1015 E BROADWAY, VANCOUVER, BC",1212467,476197,1234,Mount Pleasant StrongStart Centre,1211649,476302,163.99601347336767,00:02:43,1.184,schools
"1015 E GEORGIA ST, VANCOUVER, BC",1212445,477953,1234,Admiral Seymour StrongStart Centre,1212578,477967,61.7614276964931,00:01:01,0.235,schools
"1015 E KING EDWARD AV, VANCOUVER, BC",1212487,474646,1234,Charles Dickens Annex,1212533,474809,73.82014070802515,00:01:13,0.324,schools
"1015 E PENDER ST, VANCOUVER, BC",1212443,478154,1234,Admiral Seymour StrongStart Centre,1212578,477967,126.69116350190123,00:02:06,0.633,schools
"1015 IRONWORK PASSAGE, VANCOUVER, BC",1209126,476724,1234,False Creek Elementary,1209243,476553,195.09066602658356,00:03:15,0.397,schools
"1015 KINGSWAY, VANCOUVER, BC",1212491,475220,1234,Charles Dickens Elementary,1212535,475325,57.651520501646516,00:00:57,0.178,schools
"1015 W 13TH AV, VANCOUVER, BC",1209258,475743,1234,L'Ecole Bilingue Elementary,1209026,475541,77.24191471655173,00:01:17,0.439,schools
