address,albers_x,albers_y,nearest_facility,coord_x,coord_y,drv_time_sec,drv_time_hrs,drv_dist,tag
"1002 E 14TH AV, VANCOUVER, BC",1212462,475627,Florence Nightingale StrongStart Centre,1211687,475869,105.05525448606623,00:01:45,0.988,schools
"1002 E 20TH AV, VANCOUVER, BC",1212472,475056,Charles Dickens Annex,1212533,474809,74.60909099080848,00:01:14,0.314,schools
"1002 SEYMOUR ST, VANCOUVER, BC",1209526,477784,Elsie Roy Elementary,1209538,477136,145.07057110159465,00:02:25,0.863,schools
"1002 W 10TH AV, VANCOUVER, BC",1209245,476005,L'Ecole Bilingue Elementary,1209026,475541,136.05639646292295,00:02:16,0.693,schools
"1003 BURNABY ST, VANCOUVER, BC",1208940,477840,Pattison High School,1209307,478110,64.1537241529537,00:01:04,0.474,schools
"1003 DOUGLAS CRESCENT, VANCOUVER, BC",1209234,475163,L'Ecole Bilingue Elementary,1209026,475541,55.64918370695571,00:00:55,0.645,schools
"1003 E 10TH AV, VANCOUVER, BC",1212449,476086,Mount Pleasant StrongStart Centre,1211649,476302,109.12227380681315,00:01:49,0.963,schools
"1003 E 11TH AV, VANCOUVER, BC",1212454,475979,Florence Nightingale StrongStart Centre,1211687,475869,112.56205626892489,00:01:52,1.027,schools
"1003 E 12TH AV, VANCOUVER, BC",1212455,475885,Florence Nightingale StrongStart Centre,1211687,475869,112.7231315574532,00:01:52,0.923,schools
"1003 E 14TH AV, VANCOUVER, BC",1212462,475685,Florence Nightingale StrongStart Centre,1211687,475869,96.56538052796965,00:01:36,0.93,schools
"1003 E 38TH AV, VANCOUVER, BC",1212463,473210,Sir Alexander Mackenzie Elementary,1212313,473057,96.95744494654203,00:01:36,0.736,schools
"1003 E 39TH AV, VANCOUVER, BC",1212468,473112,Sir Alexander Mackenzie Elementary,1212313,473057,88.04697822781175,00:01:28,0.609,schools
"1003 E 41ST AV, VANCOUVER, BC",1212474,472903,Sir Alexander Mackenzie Elementary,1212313,473057,59.93808989263968,00:00:59,0.319,schools
"1003 PACIFIC ST, VANCOUVER, BC",1208792,477678,Pattison High School,1209307,478110,88.08955417336102,00:01:28,0.69,schools
"1003 W 33RD AV, VANCOUVER, BC",1209266,473728,BC Children's Adol. Psych. Unit,1209444,473506,90.14407330691517,00:01:30,0.593,schools
"1003 WOLFE AV, VANCOUVER, BC",1209241,474965,L'Ecole Bilingue Elementary,1209026,475541,83.24131512834903,00:01:23,0.782,schools
